ORDERNUMBER;ORDERDATE;PRODUCTCODE;QUANTITYORDERED;PRICEEACH;PRODUCTLINE;CUSTOMERNUMBER;CUSTOMERNAME;CITY;STATE;POSTALCODE;COUNTRY;FIRSTNAME;LASTNAME;EMAIL;OFFICECODE;CITY_1;STATE_1;COUNTRY_1;POSTALCODE_1;TERRITORY
10113; 2019.03.26;S12_1666;21;121,64;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10113; 2019.03.26;S18_1097;49;101,5;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10113; 2019.03.26;S18_4668;50;43,27;Vintage Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10113; 2019.03.26;S32_3522;23;58,82;Trucks and Buses;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S12_1099;42;173,17;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S12_3380;48;110,39;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S12_3990;24;72,62;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S12_4675;29;103,64;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S18_1889;48;66,99;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
10135; 2019.07.02;S18_3278;45;65,94;Classic Cars;124;Mini Gifts Distributors Ltd.;San Rafael;CA;97562;USA;Leslie;Jennings;ljennings@classicmodelcars.com;1;San Francisco;CA;USA;94080;NA
